id,FALSE,TRUE,half-true,barely-true,pants-fire,mostly-true
11972.json,0.16637884,0.15905575,0.1817223,0.1734616,0.14640702,0.17297448
11685.json,0.1611472,0.16638038,0.19514121,0.16302797,0.14127246,0.1730307
11096.json,0.17342001,0.15948531,0.18262802,0.16996753,0.14479756,0.16970158
5209.json,0.17389967,0.15585414,0.19031481,0.16924044,0.14737688,0.16331415
9524.json,0.1670019,0.1554229,0.20075373,0.17054382,0.13151342,0.1747641
5962.json,0.16889472,0.15979515,0.19480507,0.16726467,0.1488225,0.16041793
7070.json,0.17456292,0.15378346,0.19796556,0.15856938,0.13889088,0.1762278
1046.json,0.16848423,0.15742919,0.17779572,0.16668338,0.15495583,0.1746516
12849.json,0.17259377,0.15841351,0.17964645,0.17366864,0.1471962,0.16848145
13270.json,0.16384767,0.16368109,0.1966644,0.16584007,0.13608372,0.1738831
6649.json,0.17275411,0.16291378,0.18093193,0.1668606,0.1473173,0.1692222
2508.json,0.16123272,0.15759587,0.18720804,0.16947924,0.14792347,0.17656063
11269.json,0.17082182,0.16307612,0.17106089,0.16564012,0.16043437,0.16896673
11200.json,0.16676743,0.16072685,0.20035088,0.16690345,0.1326691,0.17258227
8047.json,0.17001505,0.15893665,0.17436999,0.16789366,0.1569464,0.1718383
4888.json,0.17763358,0.15346546,0.19778457,0.16755709,0.14466834,0.15889104
3331.json,0.16856326,0.16135666,0.17093277,0.16923465,0.15796167,0.17195101
9198.json,0.1629163,0.16706683,0.19484383,0.16763708,0.13781764,0.16971834
73.json,0.17369403,0.14707093,0.19455831,0.17212944,0.14484625,0.16770098
1328.json,0.16776198,0.16711469,0.17855391,0.16372909,0.15561067,0.16722971
12169.json,0.17032133,0.1584005,0.19407403,0.16792865,0.13891941,0.17035611
5244.json,0.17128257,0.16074805,0.19265527,0.16584007,0.1375174,0.17195661
12996.json,0.17252673,0.16318114,0.19115558,0.16254069,0.1322052,0.17839073
8162.json,0.17004389,0.1621331,0.17574817,0.16698454,0.15483181,0.17025848
10064.json,0.17404088,0.1548538,0.19584346,0.16746917,0.14011005,0.16768265
1084.json,0.17213783,0.15648358,0.19341084,0.16827838,0.14294414,0.16674525
13231.json,0.17329895,0.16055766,0.18631272,0.16590072,0.14957814,0.16435185
13089.json,0.1660464,0.15366642,0.19686058,0.16601323,0.14878318,0.16863029
1051.json,0.17058957,0.15979952,0.1959659,0.16559358,0.14317532,0.1648762
4161.json,0.16985935,0.16315083,0.18318339,0.16969548,0.14328715,0.17082377
11966.json,0.17177388,0.15662517,0.19979252,0.1645235,0.13665539,0.17062952
9800.json,0.16776878,0.15875506,0.18702312,0.16611603,0.15362707,0.16670997
816.json,0.16639516,0.16383086,0.17178966,0.16584672,0.15812042,0.17401722
2646.json,0.16532455,0.1510109,0.2048232,0.15992095,0.15178011,0.1671403
12381.json,0.17749204,0.15332232,0.18689339,0.16482787,0.14479694,0.17266749
8567.json,0.17225492,0.16578646,0.18865891,0.1663854,0.13724262,0.16967173
9092.json,0.16328362,0.1502047,0.20610842,0.17116074,0.14039348,0.16884895
10055.json,0.16992381,0.15497704,0.20353083,0.17068724,0.13945036,0.16143073
4513.json,0.16265877,0.15995395,0.2045898,0.168086,0.13358212,0.17112948
10340.json,0.17415291,0.1526523,0.19356264,0.16815609,0.13885966,0.17261632
6849.json,0.16702826,0.16123636,0.17978913,0.16759922,0.155389,0.16895814
10971.json,0.16968411,0.1495038,0.20363358,0.17639092,0.13737558,0.16341203
13251.json,0.17470519,0.15528361,0.18583417,0.16969393,0.14776963,0.1667135
7545.json,0.17144902,0.16026792,0.17498042,0.16704443,0.15655002,0.16970822
4929.json,0.16787373,0.1583247,0.19971183,0.16449717,0.1370493,0.1725432
6239.json,0.16335815,0.15628575,0.20476584,0.1630461,0.13831662,0.17422752
266.json,0.17487136,0.1622424,0.18232448,0.16570607,0.1455305,0.1693253
